Source,Target,Type,Weight
A564,A3932,Undirected,1
A1741,A5350,Undirected,1
A2599,A5418,Undirected,2
A297,A3806,Undirected,1
A1815,A4870,Undirected,1
A255,A881,Undirected,1
A3973,A4976,Undirected,1
A564,A1275,Undirected,1
A904,A4503,Undirected,1
A4276,A4775,Undirected,1
A3445,A4382,Undirected,1
A405,A3201,Undirected,1
A725,A3206,Undirected,1
A3977,A5353,Undirected,1
A1978,A5418,Undirected,1
A2514,A4299,Undirected,1
A564,A5418,Undirected,4
A1839,A4144,Undirected,1
A438,A4054,Undirected,3
A779,A1326,Undirected,2
A1020,A3004,Undirected,1
A1326,A2346,Undirected,1
A3004,A5088,Undirected,1
A1262,A1382,Undirected,1
A1833,A2977,Undirected,1
A974,A4058,Undirected,1
A3554,A5401,Undirected,1
A3837,A4427,Undirected,1
A4904,A5246,Undirected,1
A873,A2430,Undirected,2
A4451,A5350,Undirected,1
A1394,A5418,Undirected,1
A3004,A4022,Undirected,2
A1144,A3443,Undirected,1
A248,A1615,Undirected,1
A525,A2429,Undirected,1
A3771,A5158,Undirected,1
A1043,A1634,Undirected,1
A792,A2429,Undirected,1
A1812,A1815,Undirected,1
A1413,A1618,Undirected,1
A3047,A3394,Undirected,1
A3913,A4151,Undirected,1
A4058,A5284,Undirected,5
A1898,A2660,Undirected,1
A1326,A4401,Undirected,1
A1749,A4976,Undirected,1
A79,A5256,Undirected,1
A90,A3187,Undirected,1
A491,A2132,Undirected,1
A1394,A4976,Undirected,1
A3645,A4054,Undirected,1
A1326,A2841,Undirected,1
A1340,A2223,Undirected,1
A2427,A4106,Undirected,1
A1,A3515,Undirected,1
A3793,A4752,Undirected,1
A1815,A3669,Undirected,1
A564,A1223,Undirected,1
A954,A3571,Undirected,1
A511,A1368,Undirected,1
A1576,A2745,Undirected,1
A3201,A5469,Undirected,1
A129,A1821,Undirected,1
A1312,A1818,Undirected,1
A3245,A4384,Undirected,1
A1989,A3464,Undirected,1
A3455,A5107,Undirected,1
A5120,A5278,Undirected,1
A3769,A3932,Undirected,1
A1510,A4772,Undirected,1
A1804,A3004,Undirected,4
A908,A5397,Undirected,1
A32,A4110,Undirected,1
A2433,A5014,Undirected,1
A903,A4705,Undirected,1
A3793,A4459,Undirected,1
A437,A873,Undirected,1
A4555,A5418,Undirected,1
A3769,A5418,Undirected,1
A2427,A5014,Undirected,1
